"date","close","volume","open","high","signal","low"
"2016/03/31","229.77","7975638.0","229.34","237.42","0.76577","0.76577"
"2016/04/01","237.59","15979910.0","244.825","247.9","0.7715","0.7715"
"2016/04/04","246.99","13381160.0","249.12","252.12","0.77232","0.77232"
"2016/04/05","255.47","9931470.0","240.5","256.56","0.7715","0.7715"
"2016/04/06","265.42","11695760.0","253.97","267.74","0.77232","0.77232"
"2016/04/07","257.2","8845567.0","266.45","269.34","0.77396","0.77396"
"2016/04/08","250.07","7352707.0","260.5","260.82","0.76986","0.76986"
"2016/04/11","249.92","9156404.0","251.0","258.99","0.76986","0.76986"
"2016/04/12","247.82","5755351.0","249.5","251.8","0.76904","0.76904"
"2016/04/13","254.53","4921554.0","248.51","255.5","0.7715","0.7715"
"2016/04/14","251.86","4129258.0","253.0","256.839","0.7715","0.7715"
"2016/04/15","254.51","3748593.0","251.31","254.6","0.77068","0.77068"
"2016/04/18","253.88","4263246.0","252.23","258.31","0.76986","0.76986"
"2016/04/19","247.37","6351360.0","253.12","254.3699","0.77314","0.77314"
"2016/04/20","249.97","5192343.0","246.26","253.66","0.77314","0.77314"
"2016/04/21","248.29","2777079.0","248.99","250.9","0.77232","0.77232"
"2016/04/22","253.75","3783126.0","248.89","254.0","0.76986","0.76986"
"2016/04/25","251.82","3665088.0","253.01","257.38","0.77232","0.77232"
"2016/04/26","253.74","3217779.0","252.05","255.73","0.77314","0.77314"
"2016/04/27","251.47","3198105.0","252.75","255.0","0.7715","0.7715"
"2016/04/28","247.71","2515595.0","249.85","253.43","0.77068","0.77068"
"2016/04/29","240.76","5405164.0","248.14","248.43","0.77396","0.77396"
"2016/05/02","241.8","3838958.0","241.5","243.19","0.77314","0.77314"
"2016/05/03","232.32","4296325.0","237.36","238.91","0.77232","0.77232"
"2016/05/04","222.56","8550004.0","230.29","234.46","0.7715","0.7715"
"2016/05/05","211.53","11248340.0","228.46","228.64","0.77396","0.77396"
"2016/05/06","214.93","5683675.0","210.87","216.37","0.77232","0.77232"
"2016/05/09","208.92","4772992.0","215.72","216.15","0.77232","0.77232"
"2016/05/10","208.69","4068053.0","207.55","209.47","0.76986","0.76986"
"2016/05/11","208.96","5159640.0","207.59","215.48","0.76904","0.76904"
"2016/05/12","207.28","3650075.0","211.44","211.67","0.77068","0.77068"
"2016/05/13","207.61","2820616.0","207.78","211.2","0.76904","0.76904"
"2016/05/16","208.29","2945754.0","208.15","213.15","0.76904","0.76904"
"2016/05/17","204.66","2842028.0","209.05","209.8199","0.76904","0.76904"
"2016/05/18","211.17","5552692.0","209.15","215.31","0.77232","0.77232"
"2016/05/19","215.21","6817922.0","213.62","216.79","0.77068","0.77068"
"2016/05/20","220.28","8996546.0","216.99","220.55","0.77068","0.77068"
"2016/05/23","216.22","5096751.0","219.87","222.6","0.76986","0.76986"
"2016/05/24","217.91","3009327.0","216.6","218.74","0.77068","0.77068"
"2016/05/25","219.58","3131279.0","217.91","221.36","0.7715","0.7715"
"2016/05/26","225.12","4066512.0","220.5","225.26","0.77232","0.77232"
"2016/05/27","223.04","3645792.0","224.99","225.93","0.77068","0.77068"
"2016/05/31","223.23","2786682.0","223.04","224.7497","0.77232","0.77232"
"2016/06/01","219.56","2982270.0","221.48","222.4","0.7715","0.7715"
"2016/06/02","218.96","2017279.0","219.59","219.909","0.76986","0.76986"
"2016/06/03","218.99","2226110.0","220.0","221.94","0.76986","0.76986"
"2016/06/06","220.68","2242634.0","218.0","220.9","0.7715","0.7715"
"2016/06/07","232.34","6194154.0","222.24","234.44","0.7715","0.7715"
"2016/06/08","235.52","5965110.0","233.8","240.845","0.77068","0.77068"
"2016/06/09","229.36","4454222.0","234.98","235.33","0.76904","0.76904"
"2016/06/10","218.79","5994548.0","227.39","227.97","0.76658","0.76658"
"2016/06/13","217.87","4187833.0","219.5","225.77","0.7674","0.7674"
